官網名稱,介紹,用途,建議售價,圖片連結
強健頭皮洗髮露,活絡頭皮 深度滋養,深入清潔淨化問題頭皮，使秀髮恢復柔軟光澤感。,"260mL/TWD1300
500mL/TWD2200
750mL/TWD2200","260mL：
https://drive.google.com/file/d/1rv3b3aqGxEMvzg_NTRSH4sb6LhylP8pL/view?usp=sharing
500mL：
https://drive.google.com/file/d/1yra94IPk5QqjaRCgugOl8dy_97uJTfWG/view?usp=sharing
750mL：
https://drive.google.com/file/d/1hO8FR_93doOMBoiBYzFyHNCh7QqGzLCn/view?usp=sharing"
男士養髮液,滋養頭皮 澄透魅力,滋潤調理頭皮髮根，增添自信魅力風采。,70mL/TWD2500,https://drive.google.com/file/d/1WecKLAkmtATaqnl7yrMVvAr4TDQ7KxXp/view?usp=sharing
女士養髮液,滋潤頭皮 迷人氣場,滋潤調理頭皮髮根，增添精緻迷人光采。,70mL/TWD2500,https://drive.google.com/file/d/1-yTkPEUt_RR4ov0Ks0L9NKJJeJPwmYHK/view?usp=sharing
咖啡因養髮液,強健髮根 甦醒美麗,活絡頭皮健康，打造良好養髮環境，滋養髮根強韌健康，徹底破解所有頭髮問題，激活秀髮甦醒美麗。,"100mL/TWD5000
50mL/TWD3300
10mL/TWD1000","100mL:
https://drive.google.com/file/d/134QMlaaMdJOQHmD-Ys3X3ORw8vtZp3U8/view?usp=sharing
50mL:
https://drive.google.com/file/d/14kr36kN_KVYKu3YX-ztfZC61a0Ae_EO3/view?usp=sharing
10mL:
https://drive.google.com/file/d/1pWH-DNeCTWd7HdBkZLbiW2NpF6aHKQ8K/view?usp=sharing"
咖啡因麥拉寧養髮液,不染髮的黑科技,一次解決兩大頭髮根本問題，富含獨家天然椰棗萃取麥拉寧成分，強健髮根深入頭皮肌膚高效抵禦老化因子，養髮同時回復秀髮年輕光采。,"100mL/TWD6000
50mL/TWD3900
10mL/TWD1100","100mL:
https://drive.google.com/file/d/1yIWL9MLKWrMcagfUZBoPW1jcjUY7TvSX/view?usp=sharing
50mL:
https://drive.google.com/file/d/14kr36kN_KVYKu3YX-ztfZC61a0Ae_EO3/view?usp=sharing
10mL:
https://drive.google.com/file/d/1pWH-DNeCTWd7HdBkZLbiW2NpF6aHKQ8K/view?usp=sharing"
豐盈彈韌洗髮露,清爽蓬鬆 豐盈彈潤,清爽溫和洗淨髮絲，賦予髮根彈力支撐，全方位綻放秀髮豐厚蓬鬆。,"260mL/TWD1300
500mL/TWD2200
750mL/TWD2200","260mL:
https://drive.google.com/file/d/1q_ErFPxsBmFdqvKbMjzTlhDCkog91eXs/view?usp=sharing
500mL:
https://drive.google.com/file/d/1n9lQqqu2IWHLhqR-2XXRW4vvwZQ5zOTs/view?usp=sharing
750mL:
https://drive.google.com/file/d/1EFi21rXP8SA5c39XgfPcWrnZl98DToGb/view?usp=sharing"
輕盈髮妝水,,撫平毛躁髮絲，輕盈細緻秀髮，為髮絲注入水分，維持長效保濕，讓秀髮柔順水潤。,220mL/TWD1200,https://drive.google.com/file/d/11FZs3KR425LyEGjocG9RbM6FbIlU6EgP/view?usp=sharing
豐盈彈韌調理精華,清爽蓬鬆 豐盈彈潤,幫助髮絲補充水份，輕鬆重塑髮型，綻放秀髮彈韌蓬鬆。,220mL/TWD1600,https://drive.google.com/file/d/1Uh6T3PMk_BoSECzeHgiSw5qXmyNMJQNr/view?usp=sharing
豐盈彈韌護髮素,清爽蓬鬆 豐盈彈潤,,250mL/TWD1500,https://drive.google.com/file/d/1un9Ys076EeSEh-n-EOQ3F9szvZEsMd_U/view?usp=sharing
豐盈彈韌精華油,清爽蓬鬆 豐盈彈潤,輕盈質地，賦予髮絲彈力支撐，提供秀髮水潤光澤感，重現蓬鬆柔順髮質。 ,"70mL/TWD1300
10mL/TWD300
750mL/TWD9600","70mL
https://drive.google.com/file/d/1cXjTevPcgPcSBmbCmg0_jfQVhZCckJvf/view?usp=sharing
10mL
https://drive.google.com/file/d/1z1f1EL82NneMJbwQ4QZ8dnXMnVu1VkTc/view?usp=sharing
750mL
https://drive.google.com/file/d/18r6ahGTV-IJMgtppshOfpSlqpmNBAWf3/view?usp=sharing"
