官網名稱,介紹,用途,建議售價,圖片連結,,,,,,,,,,,,,,,,,,,,,
竹萃極致保濕護髮包,極致水潤保濕,適用乾燥受損髮質，賦予極致保濕潤澤。,,https://drive.google.com/file/d/1PgIojV4llRY1qz9Vv3NLvd2ws_HMX--m/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
薔薇極光護色護髮包,煥彩護色 柔順優雅,防止染後秀髮掉色，賦予染燙髮閃耀光澤與柔順優雅魅力。,,https://drive.google.com/file/d/1PgbagvR7lBMgDq2rMbmOmVAiwkGiLS4E/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
咖啡因頭皮賦活精萃,奇激賦活 珍萃逆齡,深層淨化頭皮肌膚，活絡強健頭皮，釋放逆齡養護能量。,,https://drive.google.com/file/d/1W8nBUaiR7l7tSeN4H-vhRXOR2LlOauhc/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
活岩藻頭皮淨衡精萃,藻萃淨衡 煥然綻生,深層淨化頭皮肌膚，釋放舒緩養護能量，頭皮肌底煥然綻放。,,https://drive.google.com/file/d/1w7BvW-ef1EqXAyaJaHr4IMA8xgh3kUsJ/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
竹萃頭皮油脂調理精華,純淨天然能量,平衡潔淨頭皮油脂。,,https://drive.google.com/file/d/1cPysBagjLN1sNz4lTNwCBCfwwEyV3ZOO/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
竹萃頭皮滋養凍膜,純淨天然能量,保濕滋潤、調理頭皮，延緩頭皮老化。,,https://drive.google.com/file/d/1W7juZkCfb0to5zR5i_H_GS8N-5PdeynO/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
Hinoki檜木頭皮去角質凝露,天然平衡淨化,平衡頭皮油脂，淨化老廢角質，促進煥新。,,https://drive.google.com/file/d/1W6WAmgsJcHoabBdjZHzcidDAxRLNi7P0/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
咖啡因頭皮賦活凍膜,奇激強韌 金萃逆齡,滋養髮根健康強韌，注入水潤，釋放逆齡養護能量，延緩頭皮老化。,,https://drive.google.com/file/d/1W7FFQY0IDY4dds5VeoZo7vmRwQ08wlqJ/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
兒茶滋養頭皮保護凝露,溫和的染燙防護,針對所有頭皮類型的染燙前護理設計，兒茶素賦予頭皮防護屏障，減緩染燙不適，同時保養頭皮健康。,,https://drive.google.com/file/d/1W63mpeqS5Qzad7miJxFsgWGXaLq79bcn/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
印加果｜極萃鎏金養護高訂喚活套盒,"一盒實現沙龍養護 × 進階修護的絲滑銜接

高效質感沙龍護理體驗","專為燙後、染後、乾燥受損髮質設計研發
針對粗硬髮打造專屬護養療程
結合即效感 × 漸進式修護，打造髮絲健康彈韌
提升髮型完成度，延長造型效果與護髮壽命
臻選天然植萃成分，打造如絲綢般的髮絲光采",,https://drive.google.com/file/d/1bK3IGOjamfyzp2-aj_SoYAhPmgPa_i-L/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
海洋藤竹｜極萃鎏金養護高訂喚活套盒,"一盒實現沙龍養護 × 進階修護的絲滑銜接

高效質感沙龍護理體驗","專為燙後、染後、乾燥受損髮質設計研發
針對粗硬髮打造專屬護養療程
結合即效感 × 漸進式修護，打造髮絲健康彈韌
提升髮型完成度，延長造型效果與護髮壽命
臻選天然植萃成分，打造如絲綢般的髮絲光采",,https://drive.google.com/file/d/1bK3IGOjamfyzp2-aj_SoYAhPmgPa_i-L/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
木蘭保濕洗髮精,保濕柔順,一般、乾燥髮質保濕修護，輕柔潔淨。,2000mL,https://drive.google.com/file/d/14BQHGYNzGxNxK_PTYLj0I4EKmCOf4XX1/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
薔薇護色洗髮精,護色豐盈柔亮,染燙髮質潔淨，秀髮柔亮。,2000mL,https://drive.google.com/file/d/1LYIxUaH7M1NloIBuEw6jm-ShwWdBiMTY/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
雪松橙控油洗髮精,平衡調理油脂,深層潔淨，平衡油脂。,2000mL,https://drive.google.com/file/d/16q-Px_fayVddbmOZPixgjch6ekOP396V/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
香檸草修護洗髮精,清新淨化舒緩,淨化修護，頭皮清新舒暢。,2000mL,https://drive.google.com/file/d/1dkAqI7IkwnekD0yGQgQBxAl9s0l8R0OI/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
薰衣草深層洗髮精,深層潔淨,染燙護髮前深層潔淨頭皮與髮絲殘留物。,2000mL,https://drive.google.com/file/d/1YbnHBcaLlu0Zg1GWObA9bNdnrG9zTgdi/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
木蘭保濕護髮素,保濕補水,調理乾燥受損髮，保濕補水。,2000mL,https://drive.google.com/file/d/1CHLYl3QG9RPTY668SEWXheHyttrCfaU8/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
薔薇護色護髮素,豐潤亮澤,滋潤修護染燙受損髮質。,2000mL,https://drive.google.com/file/d/18Wt900W3KWfK1l5gN-Qrtgm66zJiRF3Y/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
